TEAM1,TEAM2
2025AUBURN,2025ALABAMAST
2025AUBURN,2025SAINTFRANCIS
2025LOUISVILLE,2025CREIGHTON
2025MICHIGAN,2025UCSANDIEGO
2025TEXASAM,2025YALE
2025MISSISSIPPI,2025SANDIEGOST
2025MISSISSIPPI,2025NORTHCAROLINA
2025IOWAST,2025LIPSCOMB
2025MARQUETTE,2025NEWMEXICO
2025MICHIGANST,2025BRYANT
2025FLORIDA,2025NORFOLKST
2025CONNECTICUT,2025OKLAHOMA
2025MEMPHIS,2025COLORADOST
2025MARYLAND,2025GRANDCANYON
2025MISSOURI,2025DRAKE
2025TEXASTECH,2025UNCWILMINGTON
2025KANSAS,2025ARKANSAS
2025STJOHNS,2025NEBRASKAOMAHA
2025DUKE,2025AMERICAN
2025DUKE,2025MOUNTSTMARYS
2025MISSISSIPPIST,2025BAYLOR
2025OREGON,2025LIBERTY
2025ARIZONA,2025AKRON
2025BYU,2025VCU
2025WISCONSIN,2025MONTANA
2025SAINTMARYS,2025VANDERBILT
2025ALABAMA,2025ROBERTMORRIS
2025HOUSTON,2025SIUEDWARDSVILLE
2025GONZAGA,2025GEORGIA
2025CLEMSON,2025MCNEESEST
2025PURDUE,2025HIGHPOINT
2025ILLINOIS,2025TEXAS
2025ILLINOIS,2025XAVIER
2025KENTUCKY,2025TROY
2025UCLA,2025UTAHST
2025TENNESSEE,2025WOFFORD
